Index,dry_soil_g,solution_ml,no3_ppm,nh4_ppm,Column_1,Ammonium,top_depth_cm,bottom_depth_cm
1,8.63,101.37,0.33,0.18,3.87,2.10,0,25
2,8.44,101.56,0.23,0.20,2.80,2.44,0,25
3,8.33,101.67,0.35,0.18,4.23,2.14,0,25
4,8.57,101.43,0.13,0.10,1.54,1.21,0,25
5,8.57,101.43,0.70,0.16,8.29,1.88,0,25
6,8.98,101.02,0.10,0.12,1.14,1.34,0,25
7,8.46,101.54,1.01,0.37,12.13,4.39,0,25
8,8.58,101.42,0.55,0.22,6.51,2.55,0,25
9,8.27,101.73,1.31,0.20,16.12,2.47,0,25
10,8.37,101.63,0.77,0.18,9.30,2.16,0,25
11,8.72,101.28,0.95,0.21,11.05,2.41,0,25
12,8.60,101.40,0.04,0.23,0.42,2.70,0,25
13,8.62,101.38,0.14,0.14,1.65,1.65,0,25
14,8.57,101.43,0.18,0.20,2.15,2.36,0,25
15,8.57,101.43,0.29,0.17,3.43,2.06,0,25
16,8.37,101.63,0.18,0.16,2.14,1.99,0,25
17,8.56,101.44,0.18,0.21,2.18,2.52,0,25
18,8.37,101.63,0.33,0.17,3.95,2.03,0,25
19,8.43,101.57,0.27,0.28,3.30,3.35,0,25
20,8.31,101.69,0.37,0.20,4.58,2.43,0,25
21,8.38,101.62,0.19,0.21,2.25,2.49,0,25
22,8.33,101.67,0.26,0.19,3.21,2.30,0,25
23,8.68,101.32,0.21,0.20,2.40,2.35,0,25
24,8.44,101.56,0.03,0.28,0.38,3.33,0,25
25,8.48,101.52,0.03,0.29,0.33,3.46,0,25
26,8.70,101.30,0.01,0.32,0.12,3.67,0,25
27,8.53,101.47,0.02,0.21,0.20,2.49,0,25
28,8.44,101.56,0.00,0.18,0.03,2.12,0,25
29,8.13,101.87,0.00,0.30,0.03,3.80,0,25
30,8.35,101.65,0.02,0.20,0.30,2.49,0,25
31,8.20,101.80,0.06,0.18,0.80,2.19,0,25
32,8.32,101.68,0.01,0.23,0.16,2.79,0,25
33,8.34,101.66,0.02,0.22,0.21,2.69,0,25
34,8.31,101.69,0.02,0.23,0.28,2.81,0,25
35,8.55,101.45,0.49,0.17,5.82,1.96,0,25
36,8.45,101.55,0.00,0.26,0.03,3.08,0,25
37,8.35,101.65,0.01,0.23,0.17,2.75,0,25
38,8.30,101.70,0.00,0.30,0.03,3.67,0,25
39,8.38,101.62,0.03,0.25,0.30,3.04,0,25
40,8.28,101.72,0.00,0.23,0.03,2.82,0,25
41,8.26,101.74,0.00,0.27,0.03,3.38,0,25
42,8.14,101.86,0.00,0.29,0.00,3.62,0,25
43,8.04,101.96,0.00,0.37,0.03,4.68,0,25
